"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
15,60,1,17,0,1,0,0,0,0
60,30,1,17,0,1,0,0,0,0
15,70,1,20,1,1,0,0,0,0
40,70,1,7,0,1,0,0,0,0
100,0,1,25,1,1,0,0,0,1
85,15,1,15,1,1,0,0,0,1
70,50,4,17,0,0,0,0,1,1
60,50,4,3,0,0,0,0,1,1
40,60,1,17,1,1,0,0,0,0
15,85,3,8,1,0,0,1,0,0
70,70,2,8,0,0,1,0,0,1
85,15,3,13,1,0,0,1,0,1
85,50,3,21,0,0,0,1,0,1
100,0,2,1,1,0,1,0,0,1
70,40,1,10,1,1,0,0,0,1
70,60,3,7,1,0,0,1,0,0
70,100,1,23,1,1,0,0,0,1
70,100,1,3,0,1,0,0,0,0
50,50,1,13,0,1,0,0,0,1
60,70,1,17,0,1,0,0,0,0
70,60,1,9,0,1,0,0,0,0
50,50,1,16,1,1,0,0,0,0
60,40,2,5,0,0,1,0,0,1
60,30,1,23,0,1,0,0,0,1
60,25,1,26,0,1,0,0,0,1
70,40,1,3,1,1,0,0,0,1
60,60,1,22,1,1,0,0,0,1
50,50,1,13,0,1,0,0,0,1
80,10,1,17,0,1,0,0,0,1
60,40,4,25,1,0,0,0,1,1
60,30,1,25,1,1,0,0,0,1
60,30,1,28,0,1,0,0,0,1
85,0,1,20,1,1,0,0,0,1
15,85,1,17,1,1,0,0,0,0
100,0,1,19,1,1,0,0,0,1
85,30,1,12,1,1,0,0,0,0
30,60,1,17,1,1,0,0,0,0
50,50,1,11,0,1,0,0,0,1
85,15,2,10,1,0,1,0,0,1
0,70,1,8,1,1,0,0,0,0
0,0,4,14,0,0,0,0,1,1
100,70,2,1,1,0,1,0,0,1
70,30,2,2,1,0,1,0,0,1
85,0,2,3,0,0,1,0,0,1
85,0,2,5,1,0,1,0,0,1
100,0,2,12,1,0,1,0,0,1
40,85,1,15,0,1,0,0,0,0
80,10,1,10,1,1,0,0,0,1
60,85,1,14,0,1,0,0,0,0
30,40,1,16,0,1,0,0,0,0
0,85,1,9,0,1,0,0,0,0
0,70,1,20,0,1,0,0,0,0
60,70,1,21,1,1,0,0,0,0
50,0,1,27,0,1,0,0,0,1
85,15,1,24,1,1,0,0,0,1
100,0,4,24,0,0,0,0,1,1
70,30,1,15,0,1,0,0,0,1
60,30,1,26,0,1,0,0,0,1
70,70,1,21,1,1,0,0,0,1
70,100,1,25,0,1,0,0,0,0
30,30,1,17,1,1,0,0,0,0
30,70,1,13,0,1,0,0,0,0
85,0,1,9,1,1,0,0,0,1
50,50,1,8,1,1,0,0,0,1
40,85,1,24,0,1,0,0,0,0
40,60,1,16,1,1,0,0,0,0
100,0,1,3,1,1,0,0,0,1
85,0,1,3,0,1,0,0,0,1
15,70,1,7,1,1,0,0,0,0
70,40,1,8,0,1,0,0,0,1
60,100,1,21,1,1,0,0,0,0
70,30,1,27,0,1,0,0,0,1
45,50,1,21,0,1,0,0,0,0
30,85,1,9,0,1,0,0,0,0
60,40,1,19,1,1,0,0,0,1
70,85,2,1,1,0,1,0,0,1
15,70,1,15,0,1,0,0,0,0
30,50,1,12,0,1,0,0,0,0
0,100,1,3,0,1,0,0,0,0
65,65,1,1,1,1,0,0,0,1
60,60,1,21,1,1,0,0,0,1
85,40,1,21,1,1,0,0,0,1
85,70,1,7,0,1,0,0,0,1
100,60,3,22,0,0,0,1,0,1
0,85,1,23,0,1,0,0,0,0
60,60,1,27,1,1,0,0,0,0
70,60,1,13,0,1,0,0,0,1
40,60,1,20,1,1,0,0,0,0
